E	db0_pair_dE	db0_pion_dE	db0_rsh_dE	db0_dE
2.1894767628566208e17	1.5827699421957355e-14	0.0	7.358487281534e-11	1.5827699421957355e-14
2.2148552337263683e17	1.7746370867308143e-14	0.0	7.358487281534e-11	1.7746370867308143e-14
2.2405278693000182e17	1.9872661830314847e-14	0.0	7.358487281534e-11	1.9872661830314847e-14
2.266498079273702e17	2.222610175478346e-14	0.0	7.358487281534e-11	2.222610175478346e-14
2.2927693128656486e17	2.4827745735340122e-14	0.0	7.358487281534e-11	2.4827745735340122e-14
2.319345059274437e17	2.7700264373364778e-14	0.0	7.358487281534e-11	2.7700264373364778e-14
2.3462288481422624e17	3.0868036487748866e-14	0.0	7.358487281534e-11	3.0868036487748866e-14
2.373424250023876e17	3.435724457764409e-14	0.0	7.358487281534e-11	3.435724457764409e-14
2.4009348768606518e17	3.819597295717408e-14	0.0	7.358487281534e-11	3.819597295717408e-14
2.4287643824604605e17	4.2414308450554523e-14	0.0	7.358487281534e-11	4.2414308450554523e-14
2.45691646298279e17	4.7044443418995647e-14	0.0	7.358487281534e-11	4.7044443418995647e-14
2.4853948574298086e17	5.212078103015534e-14	0.0	7.358487281534e-11	5.212078103015534e-14
2.5142033481427965e17	5.768004269658172e-14	0.0	7.358487281534e-11	5.768004269658172e-14
2.5433457613046586e17	6.376137716550513e-14	0.0	7.358487281534e-11	6.376137716550513e-14
2.572825967447932e17	7.040647148502984e-14	0.0	7.358487281534e-11	7.040647148502984e-14
2.602647881969015e17	7.765966325039936e-14	0.0	7.358487281534e-11	7.765966325039936e-14
2.63281546564802e17	8.556805412708835e-14	0.0	7.358487281534e-11	8.556805412708835e-14
2.6633327251749917e17	9.418162424635994e-14	0.0	7.358487281534e-11	9.418162424635994e-14
2.6942037136818822e17	1.0355334743183433e-13	0.0	7.358487281534e-11	1.0355334743183433e-13
2.725432531281039e17	1.137393064499847e-13	0.0	7.358487281534e-11	1.137393064499847e-13
2.7570233256095827e17	1.247988087860281e-13	0.0	7.358487281534e-11	1.247988087860281e-13
2.788980292380451e17	1.367945018708629e-13	0.0	7.358487281534e-11	1.367945018708629e-13
2.8213076759394707e17	1.4979248777881397e-13	0.0	7.358487281534e-11	1.4979248777881397e-13
2.854009769829249e17	1.6386243720318644e-13	0.0	7.358487281534e-11	1.6386243720318644e-13
2.8870909173592346e17	1.7907770197628596e-13	0.0	7.358487281534e-11	1.7907770197628596e-13
2.920555512182757e17	1.9551542619635118e-13	0.0	7.358487281534e-11	1.9551542619635118e-13
2.95440799888038e17	2.1325665498775427e-13	0.0	7.358487281534e-11	2.1325665498775427e-13
2.988652873550395e17	2.3238644154189745e-13	0.0	7.358487281534e-11	2.3238644154189745e-13
3.0232946844057766e17	2.529939507249581e-13	0.0	7.358487281534e-11	2.529939507249581e-13
3.058338032378444e17	2.751725601697367e-13	0.0	7.358487281534e-11	2.751725601697367e-13
3.093787571730137e17	2.990199572869605e-13	0.0	7.358487281534e-11	2.990199572869605e-13
3.1296480106707635e17	3.2463823309716777e-13	0.0	7.358487281534e-11	3.2463823309716777e-13
3.1659241119835206e17	3.5213397090712033e-13	0.0	7.358487281534e-11	3.5213397090712033e-13
3.2026206936576634e17	3.816183311895316e-13	0.0	7.358487281534e-11	3.816183311895316e-13
3.239742629528195e17	4.1320713073436065e-13	0.0	7.358487281534e-11	4.1320713073436065e-13
3.277294849923395e17	4.470209161664518e-13	0.0	7.358487281534e-11	4.470209161664518e-13
3.3152823423194234e17	4.83185033168514e-13	0.0	7.358487281534e-11	4.83185033168514e-13
3.353710152002943e17	5.218296871438274e-13	0.0	7.358487281534e-11	5.218296871438274e-13
3.392583382740992e17	5.630899989585968e-13	0.0	7.358487281534e-11	5.630899989585968e-13
3.4319071974590566e17	6.071060535073681e-13	0.0	7.358487281534e-11	6.071060535073681e-13
3.4716868189265594e17	6.540229407736682e-13	0.0	7.358487281534e-11	6.540229407736682e-13
3.511927530450742e17	7.039907887447224e-13	0.0	7.358487281534e-11	7.039907887447224e-13
3.5526346765781395e17	7.571647899181833e-13	0.0	7.358487281534e-11	7.571647899181833e-13
3.5938136638046406e17	8.137052177543683e-13	0.0	7.358487281534e-11	8.137052177543683e-13
3.635469961293318e17	8.737774359843931e-13	0.0	7.358487281534e-11	8.737774359843931e-13
