E	beta_pair_E	beta_pion_E	beta_rsh_E	beta_total_E
5.44171428686591e17	1.1614280252576166e-12	0	7.665e-11	7.781142802525762e-11
5.5047898078549677e17	1.2282954810033313e-12	0	7.665e-11	7.787829548100333e-11
5.5685964442864314e17	1.2983032526952871e-12	0	7.665e-11	7.794830325269528e-11
5.633142670601352e17	1.371559402777611e-12	0	7.665e-11	7.802155940277762e-11
5.69843705946916e17	1.4481738595880604e-12	0	7.665e-11	7.809817385958807e-11
5.764488282925873e17	1.5282583752509327e-12	0	7.665e-11	7.817825837525094e-11
5.831305113526243e17	1.611926480623108e-12	0	7.665e-11	7.826192648062311e-11
5.898896425508493e17	1.6992934373190763e-12	0	7.665e-11	7.834929343731907e-11
5.967271195973335e17	1.7904761868479265e-12	0	7.665e-11	7.844047618684793e-11
6.036438506075864e17	1.8855932969095564e-12	0	7.665e-11	7.853559329690956e-11
6.106407542232061e17	1.98476490487551e-12	0	7.665e-11	7.863476490487552e-11
6.177187597338488e17	2.088112658508573e-12	0	7.665e-11	7.873811265850857e-11
6.248788072006913e17	2.195759654010425e-12	0	7.665e-11	7.884575965401042e-11
6.321218475812448e17	2.307830371394148e-12	0	7.665e-11	7.895783037139415e-11
6.394488428556963e17	2.424450607294628e-12	0	7.665e-11	7.907445060729463e-11
6.468607661546321e17	2.545747405264752e-12	0	7.665e-11	7.919574740526475e-11
6.543586018883256e17	2.6718489836358145e-12	0	7.665e-11	7.932184898363581e-11
6.619433458774388e17	2.8028846610168233e-12	0	7.665e-11	7.945288466101682e-11
6.696160054853243e17	2.9389847795168888e-12	0	7.665e-11	7.958898477951689e-11
6.773775997517745e17	3.0802806257732574e-12	0	7.665e-11	7.973028062577326e-11
6.852291595284086e17	3.2269043498769896e-12	0	7.665e-11	7.987690434987699e-11
6.9317172761554e17	3.3789888822859624e-12	0	7.665e-11	8.002898888228597e-11
7.012063589007205e17	3.536667848824271e-12	0	7.665e-11	8.018666784882428e-11
7.09334120498799e17	3.700075483863801e-12	0	7.665e-11	8.035007548386381e-11
7.175560918936951e17	3.869346541793386e-12	0	7.665e-11	8.051934654179338e-11
7.258733650817245e17	4.0446162068765475e-12	0	7.665e-11	8.069461620687655e-11
7.342870447166788e17	4.2260200016085636e-12	0	7.665e-11	8.087602000160857e-11
7.427982482564911e17	4.413693693678252e-12	0	7.665e-11	8.106369369367826e-11
7.514081061116993e17	4.60777320164961e-12	0	7.665e-11	8.125777320164961e-11
7.601177617955323e17	4.808394499472232e-12	0	7.665e-11	8.145839449947223e-11
7.689283720758337e17	5.015693519938952e-12	0	7.665e-11	8.166569351993896e-11
7.778411071286482e17	5.229806057202286e-12	0	7.665e-11	8.187980605720229e-11
7.868571506936876e17	5.450867668470773e-12	0	7.665e-11	8.210086766847077e-11
7.959777002314977e17	5.679013574998041e-12	0	7.665e-11	8.232901357499804e-11
8.052039670825503e17	5.914378562487727e-12	0	7.665e-11	8.256437856248773e-11
8.145371766280737e17	6.157096881027528e-12	0	7.665e-11	8.280709688102752e-11
8.239785684528545e17	6.407302144676271e-12	0	7.665e-11	8.305730214467627e-11
8.335293965098188e17	6.665127230817132e-12	0	7.665e-11	8.331512723081714e-11
8.431909292866286e17	6.930704179400807e-12	0	7.665e-11	8.358070417940081e-11
8.529644499741016e17	7.20416409219054e-12	0	7.665e-11	8.385416409219055e-11
8.628512566366922e17	7.485637032131992e-12	0	7.665e-11	8.4135637032132e-11
8.728526623848371e17	7.775251922957876e-12	0	7.665e-11	8.442525192295788e-11
8.829699955494118e17	8.073136449148754e-12	0	7.665e-11	8.472313644914875e-11
8.932045998580959e17	8.379416956357027e-12	0	7.665e-11	8.502941695635703e-11
9.035578346138958e17	8.694218352413148e-12	0	7.665e-11	8.534421835241314e-11
9.140310748756223e17	9.01766400901773e-12	0	7.665e-11	8.566766400901774e-11
9.246257116405772e17	9.349875664235335e-12	0	7.665e-11	8.599987566423534e-11
9.353431520292376e17	9.690973325889482e-12	0	7.665e-11	8.634097332588949e-11
9.461848194722031e17	1.004107517597103e-11	0	7.665e-11	8.669107517597104e-11
9.571521538991855e17	1.04002974761545e-11	0	7.665e-11	8.705029747615451e-11
9.682466119303154e17	1.0768754474530384e-11	0	7.665e-11	8.741875447453038e-11
9.794696670695386e17	1.1146558313642433e-11	0	7.665e-11	8.779655831364243e-11
9.908228099003828e17	1.1533818939933377e-11	0	7.665e-11	8.818381893993338e-11
1.0023075482838643e18	1.1930644014681974e-11	0	7.665e-11	8.858064401468198e-11
1.0139254075588184e18	1.233713882652962e-11	0	7.665e-11	8.898713882652962e-11
1.0256779307444209e18	1.2753406205673178e-11	0	7.665e-11	8.940340620567318e-11
1.0375666787451891e18	1.3179546439816342e-11	0	7.665e-11	8.982954643981635e-11
1.0495932305582266e18	1.361565719194965e-11	0	7.665e-11	9.026565719194965e-11
1.0617591834830034e18	1.4061833420045295e-11	0	7.665e-11	9.07118334200453e-11
1.0740661533334323e18	1.4518167226767198e-11	0	7.665e-11	9.11681672267672e-11
1.0865157746525417e18	1.4984748137364524e-11	0	7.665e-11	9.163474813736453e-11
1.0991097009294962e18	1.5461662218178978e-11	0	7.665e-11	9.211166221817898e-11
1.1118496048192744e18	1.5948993101106025e-11	0	7.665e-11	9.259899310110603e-11
1.1247371783647508e18	1.644682099893277e-11	0	7.665e-11	9.309682099893277e-11
1.1377741332214949e18	1.695522314342212e-11	0	7.665e-11	9.360522314342212e-11
1.1509622008850312e18	1.7474273348465992e-11	0	7.665e-11	9.4124273348466e-11
1.1643031329208804e18	1.8004042351519736e-11	0	7.665e-11	9.465404235151973e-11
1.177798701197118e18	1.8544597498134694e-11	0	7.665e-11	9.51945974981347e-11
1.1914506981197796e18	1.9096002613651456e-11	0	7.665e-11	9.574600261365146e-11
1.2052609368708413e18	1.9658318441667477e-11	0	7.665e-11	9.630831844166748e-11
