z	E
0.26184738955823295	8.626264604700556e17
0.26024096385542167	8.612241814574405e17
0.25863453815261045	8.598253747613595e17
0.2570281124497992	8.584300113896833e17
0.25542168674698795	8.570380625608831e17
0.25381526104417673	8.55649499702284e17
0.25220883534136546	8.542642944483395e17
0.25060240963855424	8.528824186387158e17
0.24899598393574296	8.515038443162313e17
0.24738955823293174	8.501285437276256e17
0.2457831325301205	8.487564893189733e17
0.24417670682730924	8.473876537351273e17
0.242570281124498	8.460220098181043e17
0.24096385542168675	8.446595306054877e17
0.2393574297188755	8.433001893288486e17
0.23775100401606425	8.419439594121837e17
0.236144578313253	8.405908144703711e17
0.23453815261044178	8.392407283076426e17
0.23293172690763053	8.378936749160737e17
0.23132530120481928	8.365496284740893e17
0.22971887550200804	8.352085633449864e17
0.2281124497991968	8.33870454075473e17
0.22650602409638554	8.325352753942237e17
0.2248995983935743	8.312030022104503e17
0.22329317269076304	8.298736096124886e17
0.2216867469879518	8.285470728664008e17
0.22008032128514057	8.272233674145933e17
0.21847389558232932	8.259024688744498e17
0.21686746987951808	8.245843530369792e17
0.21526104417670683	8.232689958654784e17
0.21365461847389558	8.219563734942102e17
0.21204819277108433	8.20646462227095e17
0.21044176706827308	8.193392385364179e17
0.20883534136546184	8.180346790615487e17
0.20722891566265061	8.167327606076773e17
0.20562248995983937	8.15433460144562e17
0.20401606425702812	8.141367548052919e17
0.20240963855421687	8.128426218850628e17
0.20080321285140562	8.115510388399665e17
0.19919678714859437	8.102619832857934e17
0.19759036144578312	8.089754329968484e17
0.19598393574297188	8.07691365904779e17
0.19437751004016066	8.064097600974171e17
0.1927710843373494	8.05130593817633e17
0.19116465863453816	8.038538454622019e17
0.1895582329317269	8.025794935806828e17
0.18795180722891566	8.013075168743098e17
0.18634538152610441	8.00037894194895e17
0.18473895582329317	7.987706045437443e17
0.18313253012048192	7.975056270705834e17
0.18152610441767067	7.962429410724973e17
0.17991967871485945	7.949825259928799e17
0.1783132530120482	7.937243614203956e17
0.17670682730923695	7.924684270879525e17
0.1751004016064257	7.912147028716855e17
0.17349397590361446	7.899631687899519e17
0.1718875502008032	7.887138050023368e17
0.17028112449799196	7.874665918086696e17
0.1686746987951807	7.862215096480515e17
0.1670682730923695	7.849785390978925e17
0.16546184738955824	7.837376608729597e17
0.163855421686747	7.824988558244356e17
