E	Eg
5.5047898078549677e17	2.1706632285712374e18
5.555776222398855e17	2.227092571837608e18
5.6072348828520384e17	2.285640082970591e18
5.659170163246231e17	2.346393069258874e18
5.711586478126447e17	2.409442006393064e18
5.764488282925873e17	2.474880596422003e18
5.817880074344911e17	2.5428058207269714e18
5.871766390733262e17	2.6133179895800627e18
5.92615181247554e17	2.686520785330232e18
5.981040962380956e17	2.762521301372667e18
6.036438506075864e17	2.841430075030381e18
6.092349152400686e17	2.9233611111021056e18
6.148777653810029e17	3.0084294169633577e18
6.205728806776488e17	3.0967634434677914e18
6.263207452198705e17	3.1884802215989315e18
6.321218475812448e17	3.283710222730438e18
6.379766808606257e17	3.3825849078407204e18
6.438857427240426e17	3.48523918657567e18
6.498495354469875e17	3.5918113816441574e18
6.558685659571448e17	3.7024431796806047e18
6.619433458774388e17	3.8172795593147366e18
6.680743915695588e17	3.9364687394650726e18
6.742622241778349e17	4.0601620714664253e18
6.805073696735192e17	4.188513948428298e18
6.868103588995322e17	4.3216816923157325e18
6.9317172761554e17	4.45982542315178e18
6.995920165435346e17	4.6031079215049713e18
7.06071771413778e17	4.751694473123647e18
7.126115430111731e17	4.905752700237024e18
7.192118872221207e17	5.065452381385221e18
7.258733650817245e17	5.230965256974319e18
7.3259654282152e17	5.402464821959525e18
7.393819919175873e17	5.5801261083473e18
7.462302891391092e17	5.764125455033232e18
7.531420165974391e17	5.954640271551967e18
7.601177617955323e17	6.151848784976593e18
7.67158117677927e17	6.355929786219373e18
7.742636826811278e17	6.567062363407561e18
7.814350607844526e17	6.78542563390605e18
7.886728615614172e17	7.011198477710192e18
7.959777002314977e17	7.244559215198939e18
8.033501977124701e17	7.485685419720909e18
8.107909806731694e17	7.734753544266105e18
8.183006815867373e17	7.991938697077671e18
8.258799387844289e17	8.257414357958945e18
8.335293965098188e17	8.531352129223444e18
8.412497049736084e17	8.813921495470254e18
8.490415204088755e17	9.105289635833787e18
8.56905505126833e17	9.40562127842004e18
8.648423275731744e17	9.715078668983308e18
8.728526623848371e17	1.003382167740288e19
8.809371904473955e17	1.0362008144774672e19
8.890965989529167e17	1.0699794582352908e19
8.973315814583501e17	1.1047337376376769e19
9.056428379445312e17	1.1404794762609293e19
9.140310748756223e17	1.177232982660083e19
9.224970052592137e17	1.2150114977677656e19
9.310413487069085e17	1.2538338363204657e19
9.396648314954671e17	1.2937212890033134e19
9.483681866285947e17	1.334698863891939e19
9.571521538991855e17	1.3767969594734512e19
9.660174799522606e17	1.4200535934935966e19
9.749649183484096e17	1.4645173287870142e19
